#,https://www.cfa.harvard.edu/shocks/ac_master_data/index.html,,,
Year,Month,Day,DOY,UT
1998,2,18,49.328484,0753
1998,3,4,63.456991,1058
1998,4,23,113.728032,1728
1998,4,30,120.363576,0843
1998,5,1,121.890613,2122
1998,5,3,123.708565,1700
1998,5,8,128.389861,0921
1998,5,15,135.581516,1357
1998,5,29,149.627419,1503
1998,6,13,164.788692,1855
1998,6,25,176.654977,1543
1998,7,5,186.136088,0315
1998,7,31,212.385498,0915
1998,8,6,218.280671,0644
1998,8,10,222.004560,0006
1998,8,15,227.498623,1158
1998,8,26,238.264525,0620
1998,9,24,267.967639,2313
1998,10,2,275.286887,0653
1998,10,18,291.792234,1900
1998,10,23,296.523519,1233
1998,11,7,311.317014,0736
1998,11,8,312.181458,0421
1998,11,12,316.271817,0631
1998,12,21,355.951400,2250
1998,12,28,362.731759,1733
1999,2,11,42.325405,0748
1999,2,17,48.266505,0623
1999,2,18,49.089468,0208
1999,3,10,69.027951,0040
1999,4,16,106.441424,1035
1999,5,5,125.624537,1459
1999,5,18,138.002488,0003
1999,5,25,145.408947,0948
1999,7,26,207.981273,2333
1999,8,4,216.052743,0115
1999,8,8,220.739410,1744
1999,8,15,227.401991,0938
1999,8,22,234.950683,2248
1999,8,23,235.479201,1130
1999,10,21,294.067627,0137
1999,10,28,301.476875,1126
1999,11,13,317.509074,1213
1999,11,19,323.999062,2358
1999,12,11,345.501447,1202
1999,12,12,346.635150,1514
1999,12,26,360.894016,2127
2000,1,11,11.569745,1340
2000,1,22,22.015648,0022
2000,1,27,27.581019,1356
2000,1,30,30.781204,1844
2000,2,5,36.617488,1449
2000,2,11,42.092303,0212
2000,2,11,42.971377,2318
2000,2,14,45.289699,0657
2000,4,17,108.402199,0939
2000,4,24,115.369421,0851
2000,5,30,151.056412,0121
2000,6,3,155.336215,0804
2000,6,4,156.599363,1423
2000,6,8,160.361944,0841
2000,6,11,163.303611,0717
2000,6,23,175.518600,1226
2000,7,10,192.248576,0557
2000,7,11,193.474132,1122
2000,7,13,195.376528,0902
2000,7,13,195.388194,0919
2000,7,19,201.617072,1448
2000,7,26,208.746516,1754
2000,7,28,210.237998,0542
2000,7,28,210.381701,0909
2000,8,11,224.757604,1810
2000,9,4,248.530521,1243
2000,9,6,250.675891,1613
2000,9,17,261.706424,1657
2000,9,30,274.443264,1038
2000,10,3,277.005845,0008
2000,10,5,279.111215,0240
2000,10,28,302.380637,0908
2000,10,31,305.687650,1630
2000,11,4,309.065995,0135
2000,11,6,311.385243,0914
2000,11,8,313.555787,1320
2000,11,11,316.167465,0401
2000,11,26,331.208356,0500
2000,11,26,331.475023,1124
2000,11,28,333.206505,0457
2000,11,29,334.129838,0306
2000,12,3,338.139456,0320
2001,1,10,10.638669,1519
2001,1,13,13.071076,0142
2001,1,17,17.647002,1531
2001,1,23,23.421065,1006
2001,1,31,31.307153,0722
2001,3,3,62.443970,1039
2001,3,27,86.047998,0109
2001,3,27,86.718924,1715
2001,3,30,89.910961,2151
2001,4,4,94.598924,1422
2001,4,7,97.707801,1659
2001,4,8,98.439468,1032
